example_id	statement	date	french	possibility	labeler_name	notes
21349	"Southwest Airlines announce they will no longer terminate employees over the mandate."	October 13, 2021	La companie d'avion SouthWest Airlines a annoncé qu'elle ne terminera pas le contrat des employés sous le mandat.	I	Anne	Impossible to know who has annouced it, which jobs in the Airline company is affected, don't know the date
21350	Facebook is changing its hate speech policy to ban “Let’s go Brandon.”	October 20, 2021	Facebook est entrain de modifier sa politique contre les discours de haine pour banir: "Allez Brandon"	I	Anne	
21351	A news report quoted Alec Baldwin saying, “How about I just f----- shoot the both of ya?”	October 22, 2021	Un rapport journalier a cité Alec Baldwin disant, "Et si je vous **** tuez tous les deux?"	I	Anne	Difficult to verify from whom this quote is really coming
21352	We are seeing “the Justice Department treat American parents as domestic terrorists” under the Patriot Act.	October 21, 2021	Nous voyons "le Département de Justice qui treIte les parents américains comme des terroristes domestiques" sous l'Acte Patriote	I	Anne	
21354	“There’s been no” TV commercials for the COVID-19 vaccines because “they are required by law to list all adverse side effects.”	October 15, 2021	Il n'y a pas eu de publicités télévisées des vaccins contre la COVID-19 car ils sont demandés de répertorier par la loi l'ensemble des effets secondaires	I	Anne	
21355	Cargo ships “can’t get into port” because of Donald Trump’s executive order 13959.	October 21, 2021	Des cargos "ne peuvent pas atteindre le port" à cause de l'ordre Exécutif 13959 de Donald Trump	P	Anne	
21356	Says he is the "ranking member" of the House select committee investigating the Jan. 6 attack on the U.S. Capitol.	September 16, 2021	Il dit qu'il est le membre du rang du comité restreint de la Chambre investiguant l'attaque au Capitol Américain du 6 janvier.	I	Anne	We do not know who the tweet is talking about
21357	“NIH COVID Treatment Guidelines Approve Ivermectin”	October 21, 2021	Les lignes directrices du traitement NIH COVID approve I'ivermectine	I	Anne	Before all, to be use for animal but sometimes employ for humans when suffering specific parasits infections.
21358	Says Halyna Hutchins tweeted, “I have information that will lead to Hillary Clinton’s arrest.”	October 25, 2021	Il est dit que Halyna Hutchins a tweeté, "J'ai des informations qui vont mener à l'arrestation de Hillary Clinton."	P	Anne	
21359	“Halyna Huchins’ next project was documentary on Hollywood pedophile rings.”	October 24, 2021	Le prochain project de Halyna Hutchins était un documentaire sur les rois de la pédophilie à Hollywood	I	Anne	
21360	“Gas prices were WAY higher in 2008, under REPUBLICAN president George W. Bush.”	October 20, 2021	Le prix du gaz était bien plus élevé en 2008, sous le président Républicain George W. Bush	P	Anne	
21361	“Clintons, Powell, and Hunter Biden have already undergone military tribunals.”	October 25, 2021	Les Clinton, Powell, et Hunter Biden ont été convoqués par les tribunaux militaires	P	Anne	Easy to check wether is true or not
21362	The military raided Hunter Biden’s home.	October 25, 2021	Les militaires ont pillé la maison de Hunter Biden	P	Anne	
21363	“Three percent is not a modest tax increase, if you own a $100,000 home in the city of Buffalo, that means an extra $300 a year.”	September 9, 2021	3% n'est pas une augmentation modeste des taxes, si tu obtiens une maison à 100000 dollars dans la ville de Buffalo, cela signifie une augmentation de 300 dollars par année 	I	Anne	How to verify this information, no individual is indentify
21364	“Barack Obama signals That Democrats Intend to Cheat in the Virginia Governor’s Election.”	October 23, 2021	Barack Obama signale que les Démocrates ont l'intention de tricher lors de l'élection du gouverneur de l'État de la Virginie	P	Anne	Easy to look information about Barack Obama
21365	The remains of Brian Laundrie that were discovered in Florida belong to a twin.	October 21, 2021	Les restes de Brian Laundries ont étaient découvert en Floride à côté d'un jumeau.	P	Anne	Easy to look for a fact-checking website with the name of the person
21366	“Trump has been reinstated.”	October 26, 2021	Donald Trump a été réintégré	I	Anne	Context is missing 
21367	“The nation reported adding 194,000 jobs in September, and Florida accounted for 84,500.”	October 22, 2021	La nation a rapporté un ajout de 194000 emplois en September et dont  84500 emploi en plus en Floride.	P	Anne	By looking at the numbers, it sould be easier to have a context and acknowledge the veracity of the claim
21368	“COP26 luxury EVs to be recharged using diesel generators”	October 24, 2021	Les véhicules électriques COP26 de luxe seront rechargés avec des générateurs de diesel	I	Anne	It would have been easier to have the mark of the car
21369	Terry McAuliffe has a campaign sign that says, “Keep parents out of classrooms.”	October 24, 2021	Terry McAuliffe a une pancarte de campagne qui indique: "Garder les parents à l'exterieur des classes" 	P	Anne	could be verified with the name here
21370	“Australia to Implement Quarantine Camps for the Unvaxed”	October 22, 2021	L'Australie va mettre en place des camps de quarantaine pour les personnes non-vaccinnées	P	Anne	Enough context to verify
21371	“The White House referred to Christmas trees as Holiday Trees for the first time this year.”	October 17, 2021	La Maison blanche définit les arbres de Noël comme les arbres de vacances pour la première fois de l'année	I	Anne	Not enough context
21372	Democrats are “asking for a blank check book to spend as much as they want without worrying about the repercussions.”	October 21, 2021	Les démocrates demandent un chèque vierge/blanc pour dépenser autant qu'ils le désirent sans se soucier des répercussions	I	Anne	Need more context, to vague
21373	With COVID-19, vaccinated people "are the real threat to" unvaccinated people.	October 24, 2021	Avec la COVID-19, les personnes vaccinées sont les vraies menaces pour les personnes non-vaccinées	I	Anne	
21374	A White House photographer took a picture of Donald Trump at the White House on Oct. 24.	October 26, 2021	Un photographe de la Maison Blanche a pris une photo de Donald Trump à la Maison Blanche le 24 Octobre	P	Anne	
21375	“Indiana State Police offers to hire Chicago officers who REFUSE TO COMPLY with vax mandate.”	October 21, 2021	La police de l'État de l'Indiana offre des postes d'officiers de Chicago à ceux qui refusent de se soumettre à la vaccination obligatoire	P	Anne	Enough context to see if the information is true
21376	President Joe Biden withdrew troops from Afghanistan “simply because of Trump Derangement Syndrome and they wanted to reverse any policy that Trump had implemented.”	October 27, 2021	Le President Joe Biden retire des troupes en Afghanistan à cause du syndrôme dérangeant de Donald Trump et Joe Biden désire renverser toutes les politiques mises en oeuvre par Trump.	I	Anne	Too many information to  look at for veracity
21377	“Biden resigned, Pelosi was detained.”	October 28, 2021	Biden a démissionné, Pelosi est en détention	P	Anne	
21378	Photo shows Sheryl Crow wearing a shirt that says, “Keep America Trumpless.”	October 23, 2021	Une photo montre Sheryl Crow portant un T-shirt indiquant: "Garder les États-Unis sans Trump"	P	Anne	
21379	Says Dr. Anthony Fauci planned the AIDS epidemic.	October 26, 2021	Dr. Anthony Fauci dit avoir planifié l'épidémie de SIDA	P	Anne	Easy to verify because of the name mentioned
21380	“79.4% of babies who die of ‘SIDS’ had a vaccine the same day.”	October 26, 2021	79.4 % des bébés morts du "SIDS" ont reçu un vaccin le même jour. 	P	Anne	Enough detailed
21381	Photos show Manila Bay before and during Rodrigo Duterte’s administration.	October 23, 2021	Les photos montrent Manila Bay avant et durant l'administration de Rodrigo Duterte.	I	Anne	
21382	“If Bezos has 200 billion dollas, and there’s 7 billion people on earth, why can’t we each get a billion and (he’d) be left with 193 billion dollas?”	October 25, 2021	Si Bezos a 200 milliards de dollars et qu'il y a 7 milliards d'individus sur la planète, pourquoi ne pouvons-nous pas recevoir chacun un milliard et il lui resterait 193 milliard de dollars?	I	Anne	
21383	Says Donald Trump said, “Alec Baldwin, a total loser, has taken his impression of me to a new low by testing out this theory” by shooting someone.	October 27, 2021	Donald Trump dit: "Alec Baldwin, un perdant total, m'a donné une nouvelle impression médiocre de lui en testant cette théorie", en tuant une personne	P	Anne	
21384	The Anti-Defamation League classified “Let’s go Brandon” as hate speech.	October 26, 2021	La ligue anti-difamation a classifié: "Allez Brandon" comme discours haineux	P	Anne	
21385	An image of a newspaper article says “True Bethel Baptist Church becomes the first church in NYS to receive a liquor license.”	October 27, 2021	Une image dans un article de journal indique que l'Église Baptiste True Bethel devient la première église dans la ville de New York à détenir une license d'alcool.	P	Anne	
21386	Says Jen Psaki said Joe Biden wants to protect “marked people.”	October 22, 2021	Jen Psaki a dit que Joe Biden voulait protéger les personnes marquées	I	Anne	Context is missing
21387	The Biden administration "published a study concluding 4 (of) 5 new cars on the road by 2050 will still require liquid fuels."	October 5, 2021	L'administration de Joe Biden "a publié une étude concluant que 4 nouvelles voitures sur 5 sur la route d'ici 2050 auront encore besoin de gaz.	P	Anne	
21388	Says Marjorie Taylor Greene tweeted: “People can’t really be convicted on such flimsy circumstantial evidence as ‘having a similar gait’ or ‘owning the identical shoes’ or ‘being in DC and not having any alibi for that time’ can they?! I don’t recognize this America.”	October 27, 2021	Marjorie Taylor Greene a tweeté: "Les individus ne peuvent pas être condamnés pour des preuves aussi fragiles comme "avoir des démarches similaires", ou "avoir des chaussures identiques" ou "être à Washington DC et ne pas avoir d'alibi pour ceci", vraiment? Je ne reconnais pas cette Amérique.	I	Anne	
21389	“Muslim figure: We must have pork-free menus or we will leave U.S.”	October 15, 2021	Figure musulmane: Nous devrions avoir des menus sans porc ou nous quitterons les États-Unis	I	Anne	
21390	“Alec Baldwin arrested for first-degree murder and possession of child pornography.”	October 25, 2021	Alec Baldwin est arrêté pour un meutre au premier degré and pour possession d'images pédo-pornographiques.	P	Anne	
21391	“Navy SEALs arrested Hillary Clinton.”	October 27, 2021	La marine américaine SEALs a arrêté Hillary Clinton	P	Anne	
21392	In the United Kingdom, “70-plus percent of the people who die now from COVID are fully vaccinated.”	October 19, 2021	En Grande-Bretagne, "70% des personnes mortes de la COVID-19 sont totalement vaccinées"	P	Anne	
21393	"There is no such thing as a booster. There is a failed product that is sometimes used again in hopes of a different outcome.”	October 27, 2021	Il n'y a pas de chose comme un rappel. Il y a un produit défectueux qui est des fois utilisé encores dans l'espoir d'avoir des résultats différents	I	Anne	
21394	“Violent crime rate dropped like a rock following West Virginia’s adoption of permitless carry.”	September 20, 2021	Les crimes de violence ont chuté drastiquement depuis l'adoption des transports sans permis de la Virginie de l'Ouest	I	Anne	
21395	"Gas in North Carolina increased 14 cents per gallon this past week, the highest in the nation."	October 26, 2021	Le gaz en Caroline du Nord a augmenté de 14 cents par gallon la dernière semaine, le plus élevé de la nation	P	Anne	
21396	“Trump is in White House! He promises to lock up Hillary!”	October 27, 2021	Trump est dans la Maison Blanche! Il promet d'enfermer Hillary!	P	Anne	
21397	“Atlanta just lost 75% of its police force”	October 20, 2021	Atlanta vient juste de perdre 75 % de sa force policière	I	Anne	
21398	Blood “starts to clot in a minute or two” after a Pfizer COVID-19 vaccine injection.	October 27, 2021	Le sang commence à créer des caillots en une ou deux minutes après l'injection du vaccin Pfizer	P	Anne	
21399	Says a CNN headline said, “In And Out is the fast food of white supremacists.”	October 27, 2021	Il est dit dans un gros titre du CNN: In and Out est une restauration rapide de suprémacistes blancs	P	Anne	
21400	In-N-Out cups say “F--- Joe Biden.”	October 24, 2021	Les tasses In-N-Out disent "B**** Joe Biden"	P	Anne	
21401	Virginia voters are being turned away from polling locations because they were told they already requested absentee ballots when they haven’t.	October 27, 2021	Les électeurs de la Virginie sont refusés aux bureaux de vote, car ils se sont fait dire qu'ils ont déjà demandé un vote par absence alors qu'ils ne l'ont pas fait.	I	Camille	
21402	“Japan drops vax rollout”	October 27, 2021	Le Japon abandonne le déploiement des vaccins.	I	Camille	
21403	The migrant caravan from Tapachula, Mexico “is the population of Minneapolis.”	October 23, 2021	La caravane de migrants de Tapachula, le Mexique "est la population de Minneapolis".	I	Camille	
21404	Says gubernatorial candidate Rebecca Kleefisch “worked with Scott Walker to sign five abortion restrictions into law that took away services and threatened doctors with prison time for providing safe and legal abortions.”	September 28, 2021	Il dit que Rebecca Kleefisch, candidate pour le poste de gouverneur, "a travaillé avec Scott Walker pour signer cinq restrictions d'avortement dans la loi, ce qui a supprimé les services et menacé les médecin d'aller subir des peines de prison pour avoir fourni des avortements surs et légaux..	P	Camille	Enough informations to verify
21405	“Unmask your kids! Any carbon dioxide concentrations above” 2,000 parts per million are “dangerous!”	October 26, 2021	Démasquez vos enfants! Toute concentration de monoxyde de carbone au-dessus" de 2,000 parties par million est "dangereux!"	P	Camille	Can be verify
21406	Children who receive COVID-19 vaccinations "will be walking factories of spike proteins" that will "undoubtedly cause illnesses to spread like wildfire in schools."	October 25, 2021	Les enfants qui reçoivent des vaccins contre la COVID-19 "seront des usines ambulantes de protéines" qui "provoqueront sans doute des maladies qui se propageront comme des incendies hors de contrôle dans les écoles.	P	Camille	Can be disproven
21407	“The Biden administration wants to create an international oversight committee” to alter or cancel Second Amendment rights.	September 29, 2021	L'administration de Biden veut créer un comité de surveillance international pour modifier ou annuler le Deuxième amendement.	P	Camille	
21408	“Virginia Democrat operatives” and Terry McAuliffe campaign staffers posed as white supremacists and stood by Republican Glenn Youngkin’s bus.	October 29, 2021	Les "agents démocratres de la Virginie" et les membres du personnel de Terry McAuliffe ont posé comme des supématismes blancs et se tenaient près de l'autobus du républicain Glenn Yougkin.	I	Camille	Not enough context
21409	“Fairfax County is not requiring the last four digits of Social Security Numbers on absentee ballots in this election.”	October 30, 2021	"Le comté de Fairfax  ne requiert pas les quatre derniers chiffres des numéros de sécurité sociale pour les votes par absence dans ces élections.	P	Camille	
21410	"National Guard to fill in for cops who refuse to get vaccinated."	October 22, 2021	"La garde nationale pour remplacer les policiers qui refusent de se faire vacciner."	I	Camille	
21411	A photo taken on Jan. 6, 2021, at the United States Capitol riot was “doctored to look as if the Capitol was on fire.”	October 24, 2021	Une photo prise le 6 janvier 2021 à l'assaut du Capitole a été trafiqué pour donner l'impression que le Capitole était en feu."	I	Camille	
21412	"The 550 U.S. billionaires together are worth $2.5 trillion. If we confiscated 100% of their wealth, we'd raise enough to run the federal government for less than eight months."	October 23, 2019	Ensemble, les 550 billionaires américains valent 2.5 trillions de dollars. Si nous confisquons 100% de leur richesse, nous en amasserions assez pour gouverner le gouvernement fédéral pendant moins de huit mois.	P	Camille	Can be verify
21413	“Virginia man arrested for having Minecraft worlds that were exact replicas of classified U.S. military bases.”	October 28, 2021	Un homme de Virginie a été arrrêté pour avoir un monde dans Minecraft qui était la réplique exacte d'une base militaire américaine classifiée.	I	Camille	Not enough context
21414	“States run elections, not the federal government.”	October 26, 2021	"Les États administrent les élections, pas le gouvernement fédéral."	P	Camille	
21415	In-N-Out cups say “Let’s go Brandon.”	October 26, 2021	Les tasses In-N-Out disent "Vas-y Brandon."	P	Camille	
21416	“Greenland's ice sheet isn't shrinking any more rapidly today than it was 80 years ago.”	October 26, 2021	"La calotte glaciaire du Groenland ne réctrécit pas davantage aujourd'hui qu'il y a 80 ans.	P	Camille	
21417	“Wages have gone up higher, faster than inflation.”	November 2, 2021	Les salaires ont augmenté plus rapidement que l'inflation	I	Camille	Not enough context (time lapse? career?...)
21418	“DEA agent Mark Ibrahim was forced from his job and later indicted simply because he was near the Capitol protest on Jan. 6.”	November 2, 2021	Mark Ibrahim, un agent de la DEA, a été forcé de quitter son emploi et plus tard inculpé simplement parce que il était proche de l'assaut du Capitole le 6 janvier.	P	Camille	
21419	“Jan. 6 is being used as a pretext to strip millions of Americans, disfavored Americans, of their core constitutional rights.”	November 1, 2021	Le 6 janvier est utilisé comme un prétexte pour dépouiller et défavoriser des millions d'américains de leurs droits constitutionnels.	P	Camille	
21420	“There are over 1 million phantom voters on the Florida voter rolls.”	October 31, 2021	Il y a plus d'un million d'électeurs fantômes sur les listes électorales de la Floride.	P	Camille	
21421	President Joe Biden changed suits during his visit to the Vatican.	November 1, 2021	Le président a changé d'habit pendant sa visite au Vatican.	P	Camille	
21422	Social media posts suggest a CDC graph shows the COVID-19 vaccine is harmful to children and that California’s school vaccine mandate is dangerous.	October 10, 2021	Une publication sur un média social suggère qu'un graphique de la CDC montre que les vaccins contre la COVID-19 sont dangereux  pour les enfants et que le mandat de vaccination dans les écoles de la Californie est dangereux.	I	Camille	
21423	“Global warming is part of (a) natural cycle and there’s nothing we can actually do to stop these cycles.”	November 1, 2021	Le réchauffement climatique fait partie d'un cycle naturel et il n'y a rien que nous pouvons faire pour arrêter ces cycles.	P	Camille	
21424	Federal agents directly incited people on Jan. 6, 2021, and "intentionally entrapped" American citizens.	November 1, 2021	Les agents fédéraux ont directement incités les individus le 6 janvier 2021 et intentionnellement pris au piège les citoyens américains.	P	Camille	
21425	“Moderna has been pulled in Iceland and pulled for everyone under age 30 in Finland, Sweden, Norway, Denmark due to heart issues.”	October 28, 2021	Moderna a été retiré d'Islande et retiré pour toutes les personnes ayant moins de 30 ans en Finlande, en Suède, en Norvège et au Danemark à cause de problèmes cardiaques.	I	Camille	No date
21426	Product shortages are manufactured; goods are stuck in warehouses.	October 24, 2021	Les pénuries de produits sont inventées, les marchandises sont bloquées dans les entrepôts.	I	Camille	
21427	The premier of Australia’s Victoria state “is freezing people’s bank accts” if they are not vaccinated. “They can’t buy or sell until forced into submission.”	October 31, 2021	Le premier ministre de l'État de Victoria en Australie "bloque les individus de faire des transactions bancaires" s'ils ne sont pas vaccinés. "Ils ne peuvent pas acheter ou vendre jusqu'à la soumission forcée.	P	Camille	
21428	“The day Al Gore was born there were 130,000 glaciers on Earth. Today, only 130,000 remain.”	October 29, 2021	La journée où Al Gore est né, il y avait 130,000 glaciers sur Terre. Aujourd'hui, il en reste seulement 130,000. 	I	Camille	
21429	"Elon Musk to donate $250 billion for reparations to African Americans in U.S."	November 4, 2021	Elon Musk a donné 250 milliards de dollars aux Africains américains pour des réparations aux États-Unis.	I	Camille	Not enough context
21430	A video shows “your packages were rerouted and have arrived in the port of Miami” as a result of Gov. Ron DeSantis.	October 27, 2021	Une vidéo montre "que vos colis ont été réacheminé et sont arrivés au port de Miami", un résultat de Ron DeSantis.	I	Camille	
21431	“Trash bins discovered outside the Gloucester County Board of Elections containing blank ballots as well as bags of shredded ballots from Tuesday’s election!”	November 3, 2021	"Des poubelles découvertes en dehors du Conseil des élections du comté de Gloucester contenaient des bulletins de vote vide en plus d'un sac de bulletins de vote des élections de mardi déchiqueté!."	I	Camille	We don't know which tuesday
21432	“Scientists say this map represents the US in 30 years if we don’t reverse climate change.”	October 28, 2021	Des scientifiques ont dit que les cartes représentent les États-Unis dans 30 ans di nous ne renversons pas les changements climatiques.	I	Camille	
